Player,Age,Ast,CrdR,CrdY,Gls,Min,MP,Nation,PK,Pos,Starts,Team
Yahya Naji,25,0.0,0.0,1.0,0.0,213.0,-1,sa KSA,0.0,MF,2,Al-Wehda
Alaa Al Hejji,28,1.0,0.0,0.0,0.0,191.0,-1,sa KSA,0.0,MF,2,Al-Wehda
Ignacio De Arruabarrena,27,0.0,0.0,0.0,0.0,180.0,-1,uy URU,0.0,GK,2,Al-Wehda
Bandar Derwish,22,0.0,1.0,2.0,0.0,147.0,-1,sa KSA,0.0,DF,2,Al-Wehda
Ali Makki,25,0.0,0.0,0.0,0.0,143.0,-1,sa KSA,0.0,DF,2,Al-Wehda
Nawaf Al-Azizi,25,0.0,0.0,0.0,0.0,80.0,-1,sa KSA,0.0,MF,2,Al-Wehda
Juninho Bacuna,27,0.0,0.0,1.0,0.0,137.0,-1,cw CUW,0.0,MF,1,Al-Wehda
Waleed Bakshween,34,0.0,0.0,0.0,0.0,90.0,-1,sa KSA,0.0,MF,1,Al-Wehda
Abdullah Al-Owaishir,33,0.0,0.0,0.0,0.0,90.0,-1,sa KSA,0.0,GK,1,Al-Wehda
Abdulrahman Al Shammari,24,0.0,0.0,1.0,0.0,90.0,-1,sa KSA,0.0,GK,1,Al-Wehda
Mourad Khodari,21,0.0,0.0,1.0,2.0,107.0,-1,sa KSA,0.0,FW,0,Al-Wehda
Abdulaziz Noor,25,0.0,0.0,1.0,0.0,81.0,-1,sa KSA,0.0,MF,0,Al-Wehda
Vito van Crooy,28,0.0,0.0,0.0,0.0,25.0,-1,nl NED,0.0,"FW,MF",0,Al-Wehda
Saad Bguir,30,0.0,0.0,0.0,0.0,11.0,-1,tn TUN,0.0,"FW,MF",0,Al-Wehda
Hussain Al Essa,23,0.0,0.0,0.0,0.0,1.0,-1,sa KSA,0.0,MF,0,Al-Wehda
Mishal Al Alaeli,20,,,,,,-1,sa KSA,,DF,0,Al-Wehda
Abdullah Fallatah,17,,,,,,-1,sa KSA,,GK,0,Al-Wehda
Saad Al Qahtani,-1,,,,,,-1,,,,0,Al-Wehda
Ahmed Al Rashidi,22,,,,,,-1,sa KSA,,GK,0,Al-Wehda
Ali Ayesh Al-Salem,26,,,,,,-1,sa KSA,,DF,0,Al-Wehda
Mohamed Al Sufyani,18,,,,,,-1,sa KSA,,DF,0,Al-Wehda
Aliou Dieng,26,0.0,0.0,1.0,1.0,360.0,4,ml MLI,0.0,MF,4,Al-Kholood-Saudi-Club
Marcelo Grohe,37,0.0,0.0,0.0,0.0,360.0,4,br BRA,0.0,GK,4,Al-Kholood-Saudi-Club
Norbert Gyömbér,32,0.0,0.0,0.0,0.0,360.0,4,sk SVK,0.0,DF,4,Al-Kholood-Saudi-Club
William Troost-Ekong,31,0.0,0.0,0.0,0.0,360.0,4,ng NGA,0.0,DF,4,Al-Kholood-Saudi-Club
Álex Collado,25,0.0,0.0,0.0,3.0,358.0,4,es ESP,0.0,"MF,FW",4,Al-Kholood-Saudi-Club
Myziane Maolida,25,0.0,0.0,0.0,1.0,343.0,4,km COM,1.0,"FW,MF",4,Al-Kholood-Saudi-Club
Abdulrahman Al Safari,31,0.0,0.0,0.0,0.0,330.0,4,sa KSA,0.0,MF,4,Al-Kholood-Saudi-Club
Abdullah Hawsawi,28,2.0,0.0,1.0,0.0,285.0,4,sa KSA,0.0,"MF,DF",4,Al-Kholood-Saudi-Club
Jackson Muleka,24,0.0,0.0,1.0,0.0,284.0,4,cd COD,0.0,FW,3,Al-Kholood-Saudi-Club
Hamdan Al-Shamrani,27,0.0,0.0,1.0,0.0,259.0,4,sa KSA,0.0,"DF,MF",3,Al-Kholood-Saudi-Club
Mohammed Jahfali,33,0.0,0.0,0.0,0.0,137.0,3,sa KSA,0.0,DF,2,Al-Kholood-Saudi-Club
Mohammed Somaili,24,0.0,0.0,0.0,0.0,152.0,4,sa KSA,0.0,FW,1,Al-Kholood-Saudi-Club
Kévin N'Doram,28,0.0,0.0,0.0,0.0,126.0,2,fr FRA,0.0,MF,1,Al-Kholood-Saudi-Club
Jamaan Al-Dossari,31,0.0,0.0,1.0,0.0,93.0,3,sa KSA,0.0,DF,1,Al-Kholood-Saudi-Club
Sultan Al Shehri,29,0.0,0.0,0.0,0.0,74.0,2,sa KSA,0.0,MF,1,Al-Kholood-Saudi-Club
Hamam Al Hamami,-1,0.0,0.0,1.0,0.0,54.0,4,,0.0,MF,0,Al-Kholood-Saudi-Club
Riyadh Al-Ibrahim,30,0.0,0.0,0.0,0.0,17.0,1,sa KSA,0.0,MF,0,Al-Kholood-Saudi-Club
Abdullah Al-Rashidi,-1,0.0,0.0,0.0,0.0,8.0,1,sa KSA,0.0,MF,0,Al-Kholood-Saudi-Club
Jassim Al Ashban,30,,,,,,0,sa KSA,,GK,0,Al-Kholood-Saudi-Club
Abdulfattah Asiri,30,,,,,,0,sa KSA,,MF,0,Al-Kholood-Saudi-Club
Hassan Al Asmari,21,,,,,,0,sa KSA,,DF,0,Al-Kholood-Saudi-Club
Abdulmalik Al Harbi,18,,,,,,0,sa KSA,,FW,0,Al-Kholood-Saudi-Club
Majed Khalifa,20,,,,,,0,sa KSA,,FW,0,Al-Kholood-Saudi-Club
Mohammed Al Shammari,32,,,,,,0,sa KSA,,GK,0,Al-Kholood-Saudi-Club
Gaëtan Coucke,25,0.0,0.0,0.0,0.0,360.0,-1,be BEL,0.0,GK,4,Al-Orobah
Karlo Muhar,28,0.0,0.0,2.0,0.0,360.0,-1,hr CRO,0.0,MF,4,Al-Orobah
Hamed Al Maqati,-1,1.0,0.0,1.0,0.0,355.0,-1,sa KSA,0.0,"DF,MF",4,Al-Orobah
Jóhann Berg Guðmundsson,33,1.0,0.0,2.0,1.0,351.0,-1,is ISL,0.0,"MF,FW",4,Al-Orobah
Emmanuel Boateng,28,1.0,0.0,0.0,1.0,335.0,-1,gh GHA,0.0,FW,4,Al-Orobah
Ibrahim Al-Zubaidi,35,0.0,0.0,1.0,0.0,328.0,-1,sa KSA,0.0,DF,4,Al-Orobah
Hussein Al Shuwaysh,35,1.0,0.0,1.0,0.0,286.0,-1,sa KSA,0.0,DF,3,Al-Orobah
Jean Seri,33,0.0,0.0,0.0,1.0,270.0,-1,ci CIV,0.0,MF,3,Al-Orobah
Fahad Al Zubidi,22,0.0,0.0,1.0,0.0,247.0,-1,sa KSA,0.0,"FW,MF",3,Al-Orobah
Fahad Al-Rashidi,33,0.0,0.0,1.0,0.0,219.0,-1,sa KSA,0.0,MF,3,Al-Orobah
Zeyad Al Hunayti,27,0.0,0.0,0.0,1.0,180.0,-1,sa KSA,0.0,DF,2,Al-Orobah
Kurt Zouma,29,0.0,0.0,0.0,0.0,180.0,-1,fr FRA,0.0,DF,2,Al-Orobah
Cristian Tello,33,0.0,0.0,0.0,1.0,158.0,-1,es ESP,0.0,MF,2,Al-Orobah
Ismaël Kandouss,26,0.0,0.0,0.0,0.0,90.0,-1,ma MAR,0.0,DF,1,Al-Orobah
Abdulrahman Al Anzi,-1,0.0,0.0,0.0,0.0,52.0,-1,sa KSA,0.0,DF,1,Al-Orobah
Abdulmalek Al-Shammeri,29,0.0,0.0,0.0,0.0,70.0,-1,sa KSA,0.0,"DF,MF",0,Al-Orobah
Sattam Al Ruqi,22,0.0,0.0,0.0,0.0,57.0,-1,sa KSA,0.0,MF,0,Al-Orobah
Brad Young,21,0.0,0.0,0.0,0.0,35.0,-1,eng ENG,0.0,FW,0,Al-Orobah
Mohammed Al-Qarni,34,0.0,0.0,0.0,0.0,16.0,-1,sa KSA,0.0,MF,0,Al-Orobah
Mohammed Barnawi,19,0.0,0.0,0.0,0.0,4.0,-1,sa KSA,0.0,DF,0,Al-Orobah
Fraj Al Rashid,20,0.0,0.0,0.0,0.0,4.0,-1,sa KSA,0.0,FW,0,Al-Orobah
Mohammed Al-Saiari,31,0.0,0.0,0.0,0.0,2.0,-1,sa KSA,0.0,FW,0,Al-Orobah
Nawaf Al Qamiri,23,0.0,0.0,0.0,0.0,1.0,-1,sa KSA,0.0,DF,0,Al-Orobah
Mashel Al Ruaili,23,,,,,,-1,sa KSA,,DF,0,Al-Orobah
Rafea Al-Ruwaili,34,,,,,,-1,sa KSA,,GK,0,Al-Orobah
Saud Al Ruwaili,19,,,,,,-1,sa KSA,,GK,0,Al-Orobah
Omar Al Sharari,21,,,,,,-1,sa KSA,,FW,0,Al-Orobah
Fawaz Al Terais,24,,,,,,-1,sa KSA,,MF,0,Al-Orobah
Saleh Al-Amri,30,2.0,0.0,0.0,1.0,270.0,-1,sa KSA,0.0,"FW,MF",3,Al-Raed
Mohammed Al Dossary,25,0.0,0.0,1.0,0.0,270.0,-1,sa KSA,0.0,"DF,MF",3,Al-Raed
Mohamed Fouzair,32,0.0,0.0,1.0,2.0,270.0,-1,ma MAR,1.0,"MF,FW",3,Al-Raed
Oumar Gonzalez,26,0.0,0.0,1.0,0.0,270.0,-1,cm CMR,0.0,DF,3,Al-Raed
Meshari Sunyur,22,0.0,0.0,0.0,0.0,270.0,-1,sa KSA,0.0,GK,3,Al-Raed
Hamad Al-Jizani,31,0.0,0.0,1.0,0.0,260.0,-1,sa KSA,0.0,DF,3,Al-Raed
Mathias Normann,28,0.0,0.0,1.0,0.0,222.0,-1,no NOR,0.0,MF,3,Al-Raed
Yahya Sunbul,26,0.0,0.0,0.0,0.0,196.0,-1,sa KSA,0.0,"MF,DF",3,Al-Raed
Khalid Al Subaie,24,0.0,0.0,1.0,0.0,227.0,-1,sa KSA,0.0,MF,2,Al-Raed
Mobarak Al Rajeh,21,0.0,0.0,1.0,0.0,187.0,-1,sa KSA,0.0,DF,2,Al-Raed
Amir Sayoud,34,2.0,0.0,0.0,0.0,179.0,-1,dz ALG,0.0,FW,2,Al-Raed
Nawaf Al Sahli,21,0.0,0.0,1.0,0.0,91.0,-1,sa KSA,0.0,FW,1,Al-Raed
Mehdi Abeid,32,0.0,0.0,0.0,0.0,83.0,-1,dz ALG,0.0,MF,1,Al-Raed
Ayoub Qasmi,31,0.0,0.0,0.0,0.0,83.0,-1,ma MAR,0.0,DF,1,Al-Raed
Karim El Berkaoui,28,0.0,0.0,0.0,2.0,66.0,-1,ma MAR,0.0,"FW,MF",0,Al-Raed
Rakan Al Dosari,22,0.0,0.0,0.0,0.0,8.0,-1,sa KSA,0.0,FW,0,Al-Raed
Zakaria Al Hosawi,-1,0.0,0.0,0.0,0.0,7.0,-1,sa KSA,0.0,DF,0,Al-Raed
Anas Al Zahrani,-1,0.0,0.0,0.0,0.0,7.0,-1,,0.0,MF,0,Al-Raed
Raed Al-Ghamdi,30,0.0,0.0,0.0,0.0,3.0,-1,sa KSA,0.0,"FW,MF",0,Al-Raed
Bander Whaeshi,22,0.0,0.0,0.0,0.0,1.0,-1,sa KSA,0.0,DF,0,Al-Raed
Basil Al Anzi,15,,,,,,-1,sa KSA,,GK,0,Al-Raed
Abdullah Hazazi,29,,,,,,-1,sa KSA,,DF,0,Al-Raed
Saleh Al Ohaymid,26,,,,,,-1,sa KSA,,GK,0,Al-Raed
Abdullah Al Rawdhan,19,,,,,,-1,sa KSA,,DF,0,Al-Raed
Omar Shami,-1,,,,,,-1,,,MF,0,Al-Raed
Mubarak Al Shayie,18,,,,,,-1,sa KSA,,DF,0,Al-Raed
Mohammed Al-Khabrani,30,0.0,0.0,0.0,0.0,360.0,-1,sa KSA,0.0,DF,4,Al-Khaleej
Khaled Narey,30,0.0,0.0,0.0,0.0,360.0,-1,tg TOG,0.0,MF,4,Al-Khaleej
Pedro Rebocho,29,0.0,0.0,0.0,0.0,360.0,-1,pt POR,0.0,DF,4,Al-Khaleej
Ibrahim Šehić,36,0.0,0.0,1.0,0.0,360.0,-1,ba BIH,0.0,GK,4,Al-Khaleej
Fábio Martins,31,0.0,0.0,1.0,0.0,316.0,-1,pt POR,0.0,MF,4,Al-Khaleej
Khaled Al-Sumairi,27,0.0,0.0,1.0,0.0,258.0,-1,sa KSA,0.0,MF,4,Al-Khaleej
Abdullah Al-Fahad,30,0.0,0.0,1.0,0.0,287.0,-1,sa KSA,0.0,DF,3,Al-Khaleej
Mansor Hamzi,32,0.0,0.0,0.0,0.0,283.0,-1,sa KSA,0.0,MF,3,Al-Khaleej
Saeed Al Hamsal,28,0.0,0.0,1.0,0.0,253.0,-1,sa KSA,0.0,DF,3,Al-Khaleej
Dimitrios Kourbelis,30,0.0,0.0,1.0,0.0,210.0,-1,gr GRE,0.0,MF,2,Al-Khaleej
Saleh Waheeb,22,0.0,0.0,0.0,0.0,181.0,-1,sa KSA,0.0,MF,2,Al-Khaleej
Marcel Tisserand,31,0.0,0.0,0.0,0.0,165.0,-1,cd COD,0.0,DF,2,Al-Khaleej
Mohamed Sherif,28,0.0,0.0,0.0,0.0,137.0,-1,eg EGY,0.0,FW,2,Al-Khaleej
Abdulla Al Salem,31,0.0,0.0,0.0,0.0,126.0,-1,sa KSA,0.0,FW,1,Al-Khaleej
Hisham Al Dubais,22,0.0,0.0,1.0,0.0,115.0,-1,sa KSA,0.0,FW,1,Al-Khaleej
Kostas Fortounis,31,0.0,0.0,0.0,0.0,109.0,-1,gr GRE,0.0,MF,1,Al-Khaleej
Murad Al Hawsawi,23,0.0,0.0,0.0,0.0,57.0,-1,sa KSA,0.0,MF,0,Al-Khaleej
Arif Al Haydar,27,0.0,0.0,0.0,0.0,16.0,-1,sa KSA,0.0,DF,0,Al-Khaleej
Bander Nasser,34,0.0,0.0,0.0,0.0,7.0,-1,sa KSA,0.0,DF,0,Al-Khaleej
Theyab Absa,-1,,,,,,-1,,,,0,Al-Khaleej
Marwan Al Haidari,28,,,,,,-1,sa KSA,,GK,0,Al-Khaleej
Raed Ozaybi,22,,,,,,-1,sa KSA,,GK,0,Al-Khaleej
Ali Al Shaafi,-1,,,,,,-1,,,DF,0,Al-Khaleej
Abdelkader Bedrane,32,1.0,0.0,0.0,0.0,360.0,-1,dz ALG,0.0,DF,4,Damac
Farouk Chafaï,34,0.0,0.0,0.0,1.0,360.0,-1,dz ALG,0.0,DF,4,Damac
Georges-Kévin N'Koudou,29,0.0,0.0,1.0,2.0,360.0,-1,cm CMR,1.0,"MF,FW",4,Damac
Nicolae Stanciu,31,1.0,0.0,1.0,0.0,352.0,-1,ro ROU,0.0,MF,4,Damac
Ramzi Sawlan,26,2.0,0.0,1.0,0.0,317.0,-1,sa KSA,0.0,"MF,FW",4,Damac
Dhari Al Anazi,24,0.0,0.0,3.0,0.0,290.0,-1,sa KSA,0.0,DF,4,Damac
Florin Niță,37,0.0,0.0,1.0,0.0,270.0,-1,ro ROU,0.0,GK,3,Damac
François Kamano,28,0.0,0.0,0.0,1.0,260.0,-1,gn GUI,0.0,"MF,FW",3,Damac
Habib Diallo,29,0.0,0.0,0.0,1.0,191.0,-1,sn SEN,0.0,FW,3,Damac
Tarek Hamed,35,0.0,0.0,0.0,0.0,180.0,-1,eg EGY,0.0,MF,2,Damac
Ayman Fallatah,20,0.0,0.0,1.0,1.0,157.0,-1,sa KSA,0.0,MF,2,Damac
Hazzaa Al Ghamdi,23,0.0,0.0,0.0,0.0,144.0,-1,sa KSA,0.0,"MF,FW",2,Damac
Noor Al Rashidi,29,0.0,0.0,0.0,0.0,135.0,-1,sa KSA,0.0,DF,1,Damac
Abdulbasit Hawsawi,27,0.0,0.0,0.0,0.0,90.0,-1,sa KSA,0.0,GK,1,Damac
Sanousi Al Hawsawi,25,0.0,0.0,0.0,0.0,90.0,-1,sa KSA,0.0,DF,1,Damac
Bader Monshi,25,0.0,0.0,0.0,0.0,85.0,-1,sa KSA,0.0,MF,1,Damac
Sultan Faqihi,29,0.0,0.0,0.0,0.0,62.0,-1,sa KSA,0.0,DF,1,Damac
Meshari Al Nimr,-1,0.0,0.0,0.0,0.0,85.0,-1,sa KSA,0.0,FW,0,Damac
Abdurahman Al-Obaid,31,0.0,0.0,0.0,0.0,77.0,-1,sa KSA,0.0,DF,0,Damac
Ahmed Haresai,24,0.0,0.0,0.0,0.0,36.0,-1,sa KSA,0.0,FW,0,Damac
Tariq Mohammed,29,0.0,0.0,0.0,0.0,21.0,-1,sa KSA,0.0,"DF,MF",0,Damac
Faisal Al Subiani,21,0.0,0.0,0.0,0.0,21.0,-1,sa KSA,0.0,MF,0,Damac
Abdullah Al Mugren,27,0.0,0.0,0.0,0.0,15.0,-1,sa KSA,0.0,MF,0,Damac
Mohammed Alkhaibari,-1,0.0,0.0,1.0,0.0,2.0,-1,sa KSA,0.0,DF,0,Damac
Nasser Al Ghamdi,23,,,,,,-1,sa KSA,,GK,0,Damac
Jawad Al Hassan,-1,,,,,,-1,,,FW,0,Damac
Jason Denayer,29,0.0,0.0,1.0,0.0,360.0,4,be BEL,0.0,DF,4,Al-Fateh
Marwane Saâdane,32,0.0,0.0,1.0,0.0,360.0,4,ma MAR,0.0,DF,4,Al-Fateh
Péter Szappanos,33,0.0,0.0,0.0,0.0,360.0,4,hu HUN,0.0,GK,4,Al-Fateh
Lucas Zelarayán,32,1.0,0.0,1.0,0.0,355.0,4,am ARM,0.0,MF,4,Al-Fateh
Saeed Ba Atiyah,-1,0.0,0.0,1.0,0.0,340.0,4,,0.0,DF,4,Al-Fateh
Djaniny,33,0.0,0.0,0.0,2.0,329.0,4,cv CPV,0.0,FW,4,Al-Fateh
Sofiane Bendebka,32,0.0,0.0,0.0,0.0,221.0,3,dz ALG,0.0,MF,3,Al-Fateh
Nooh Al-Mousa,33,1.0,0.0,0.0,0.0,215.0,3,sa KSA,0.0,MF,3,Al-Fateh
Othman Al Othman,21,0.0,0.0,0.0,0.0,206.0,4,sa KSA,0.0,MF,3,Al-Fateh
Mourad Batna,34,0.0,0.0,0.0,0.0,225.0,3,ma MAR,0.0,MF,2,Al-Fateh
Mohammed Al Kunaydiri,23,0.0,0.0,0.0,0.0,160.0,2,sa KSA,0.0,DF,2,Al-Fateh
Suhayb Al Zaid,20,0.0,0.0,0.0,0.0,146.0,3,sa KSA,0.0,MF,1,Al-Fateh
Ahmed Al Julaydan,20,0.0,0.0,0.0,0.0,110.0,2,sa KSA,0.0,DF,1,Al-Fateh
Mohamed Amine Sbai,23,0.0,0.0,0.0,0.0,101.0,2,fr FRA,0.0,MF,1,Al-Fateh
Mohammed Al-Fuhaid,34,0.0,0.0,0.0,0.0,101.0,2,sa KSA,0.0,MF,1,Al-Fateh
Hussain Al Zarie,19,0.0,0.0,0.0,0.0,90.0,1,sa KSA,0.0,DF,1,Al-Fateh
Abdullah Al Anazi,21,0.0,0.0,0.0,0.0,87.0,3,sa KSA,0.0,MF,1,Al-Fateh
Ali Al Jassem,23,0.0,0.0,0.0,0.0,54.0,1,sa KSA,0.0,MF,1,Al-Fateh
Saad Al Shurafa,19,0.0,0.0,0.0,0.0,80.0,3,sa KSA,0.0,FW,0,Al-Fateh
Ammar Al-Daheem,31,0.0,0.0,0.0,0.0,29.0,3,sa KSA,0.0,DF,0,Al-Fateh
Naif Masoud,23,0.0,0.0,0.0,0.0,21.0,2,sa KSA,0.0,MF,0,Al-Fateh
Muntathir Al Shaqaq,19,0.0,0.0,0.0,0.0,10.0,1,sa KSA,0.0,DF,0,Al-Fateh
Faisal Al Abdulwahed,19,,,,,,0,sa KSA,,FW,0,Al-Fateh
Waleed Al-Enezi,28,,,,,,0,sa KSA,,GK,0,Al-Fateh
Ziyad Al Jari,22,,,,,,0,sa KSA,,DF,0,Al-Fateh
Mahdi Al Obod,18,,,,,,0,sa KSA,,FW,0,Al-Fateh
Paulo Vítor Fagundes dos Anjos,35,0.0,0.0,0.0,0.0,360.0,-1,br BRA,0.0,GK,4,Al-Okhdood-SC
Juan Pedroza,25,0.0,0.0,1.0,0.0,360.0,-1,co COL,0.0,MF,4,Al-Okhdood-SC
Saeed Al Rubaie,30,0.0,0.0,1.0,0.0,360.0,-1,sa KSA,0.0,DF,4,Al-Okhdood-SC
Saviour Godwin,28,0.0,0.0,0.0,0.0,315.0,-1,ng NGA,0.0,"MF,FW",4,Al-Okhdood-SC
Awadh Khames,36,0.0,0.0,0.0,0.0,315.0,-1,sa KSA,0.0,DF,3,Al-Okhdood-SC
Hussian Al Zabdani,29,0.0,0.0,2.0,0.0,270.0,-1,sa KSA,0.0,DF,3,Al-Okhdood-SC
Naif Asiri,23,0.0,0.0,1.0,0.0,260.0,-1,sa KSA,0.0,DF,3,Al-Okhdood-SC
Eid Al Muwallad,22,0.0,0.0,1.0,0.0,247.0,-1,sa KSA,0.0,MF,3,Al-Okhdood-SC
Abdulaziz Hetalh,25,0.0,0.0,0.0,0.0,233.0,-1,sa KSA,0.0,"MF,FW",3,Al-Okhdood-SC
Christian Bassogog,28,0.0,0.0,0.0,0.0,179.0,-1,cm CMR,0.0,MF,2,Al-Okhdood-SC
Ibrahima Koné,25,0.0,0.0,0.0,0.0,164.0,-1,ml MLI,0.0,FW,2,Al-Okhdood-SC
Saud Salem,19,0.0,0.0,0.0,0.0,161.0,-1,sa KSA,0.0,MF,2,Al-Okhdood-SC
Mohamed Nayef,25,0.0,0.0,0.0,0.0,175.0,-1,sa KSA,0.0,MF,1,Al-Okhdood-SC
Knowledge Musona,34,0.0,0.0,0.0,1.0,148.0,-1,zw ZIM,0.0,MF,1,Al-Okhdood-SC
Petros,35,0.0,0.0,0.0,0.0,113.0,-1,br BRA,0.0,MF,1,Al-Okhdood-SC
Damion Lowe,31,0.0,1.0,2.0,0.0,89.0,-1,jm JAM,0.0,DF,1,Al-Okhdood-SC
Muhannad Al Qaidhi,26,0.0,0.0,0.0,0.0,86.0,-1,sa KSA,0.0,DF,1,Al-Okhdood-SC
Ghassan Hawsawi,21,0.0,0.0,1.0,0.0,59.0,-1,sa KSA,0.0,DF,1,Al-Okhdood-SC
Mohammed Al-Saeed,27,0.0,0.0,0.0,0.0,45.0,-1,sa KSA,0.0,DF,1,Al-Okhdood-SC
Saleh Al Harthi,29,0.0,0.0,0.0,0.0,15.0,-1,sa KSA,0.0,MF,0,Al-Okhdood-SC
Saif Balhareth,18,0.0,0.0,0.0,0.0,5.0,-1,sa KSA,0.0,MF,0,Al-Okhdood-SC
Ahmed Al Daghrir,17,,,,,,-1,sa KSA,,MF,0,Al-Okhdood-SC
Saad Al Garni,22,,,,,,-1,sa KSA,,GK,0,Al-Okhdood-SC
Rakan Najjar,29,,,,,,-1,sa KSA,,GK,0,Al-Okhdood-SC
Faris Abdi,25,0.0,0.0,2.0,0.0,360.0,-1,sa KSA,0.0,DF,4,Al-Fayha
Sami Al-Khaibari,35,0.0,0.0,0.0,0.0,360.0,-1,sa KSA,0.0,DF,4,Al-Fayha
Fashion Sakala,27,0.0,0.0,0.0,1.0,360.0,-1,zm ZAM,0.0,"FW,MF",4,Al-Fayha
Makhir Saleh,25,0.0,0.0,1.0,0.0,315.0,-1,sa KSA,0.0,DF,3,Al-Fayha
Nawaf Al Harthi,25,0.0,0.0,0.0,0.0,239.0,-1,sa KSA,0.0,"MF,FW",3,Al-Fayha
Jacob Mendy,27,0.0,0.0,2.0,0.0,226.0,-1,sa KSA,0.0,MF,3,Al-Fayha
Mohamed Al Dowaish,20,0.0,0.0,1.0,0.0,225.0,-1,sa KSA,0.0,DF,3,Al-Fayha
Khaled Al Rammah,19,0.0,0.0,0.0,0.0,197.0,-1,sa KSA,0.0,MF,2,Al-Fayha
Alejandro Pozuelo,33,1.0,0.0,0.0,0.0,190.0,-1,es ESP,0.0,MF,2,Al-Fayha
Abdulraouf Al Duqayl,29,0.0,0.0,0.0,0.0,180.0,-1,sa KSA,0.0,GK,2,Al-Fayha
Orlando Mosquera,29,0.0,0.0,0.0,0.0,180.0,-1,pa PAN,0.0,GK,2,Al-Fayha
Gojko Cimirot,31,0.0,0.0,0.0,0.0,179.0,-1,ba BIH,0.0,MF,2,Al-Fayha
Mansor Al Beshe,24,0.0,0.0,0.0,0.0,178.0,-1,sa KSA,0.0,MF,2,Al-Fayha
Renzo López,30,0.0,0.0,1.0,0.0,161.0,-1,uy URU,0.0,FW,2,Al-Fayha
Ali Al Hussien,-1,0.0,0.0,1.0,0.0,149.0,-1,,0.0,MF,2,Al-Fayha
Otabek Shukurov,28,0.0,0.0,1.0,0.0,135.0,-1,uz UZB,0.0,MF,1,Al-Fayha
Khalid Kaabi,32,0.0,0.0,0.0,0.0,112.0,-1,sa KSA,0.0,MF,1,Al-Fayha
Mohammed Al Baqawi,29,0.0,0.0,0.0,0.0,90.0,-1,sa KSA,0.0,DF,1,Al-Fayha
Chris Smalling,34,0.0,1.0,0.0,0.0,53.0,-1,eng ENG,0.0,DF,1,Al-Fayha
Aldry Contreras,20,0.0,0.0,0.0,0.0,19.0,-1,ve VEN,0.0,MF,0,Al-Fayha
Abdulhadi Al-Harajin,29,0.0,0.0,0.0,0.0,11.0,-1,sa KSA,0.0,MF,0,Al-Fayha
Reda Al Abdullah,-1,0.0,0.0,0.0,0.0,4.0,-1,,0.0,MF,0,Al-Fayha
Malek Al Abadalmanam,26,,,,,,-1,sa KSA,,MF,0,Al-Fayha
Saud bin Zaydan,24,,,,,,-1,sa KSA,,MF,0,Al-Fayha
Vinicius Rangel,20,,,,,,-1,br BRA,,DF,0,Al-Fayha
Sattam Al Shamari,-1,,,,,,-1,,,GK,0,Al-Fayha
Osama Al Turki,-1,,,,,,-1,,,,0,Al-Fayha
